host_total_listings_count;accommodates;bedrooms;beds;price;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;reviews_per_month
1;8;4;8;1674;6;1125;11;4.91;4.91;4.91;5.0;4.91;5.0;4.73;0.13
1;8;4;3;780;5;30;10;4.8;4.8;4.7;4.8;4.9;4.6;4.8;0.11
1;7;4;5;2000;7;31;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.79
1;8;4;4;3100;3;1125;41;4.84;4.92;4.81;5.0;4.97;4.84;4.74;0.46
1;6;4;5;1860;4;1125;18;4.88;4.88;4.76;4.94;4.94;4.88;4.94;0.22
1;5;4;5;950;4;1125;21;4.63;4.74;4.53;4.78;4.83;4.67;4.83;0.25
1;7;4;5;1500;5;1125;28;4.7;4.81;4.38;4.85;4.85;4.54;4.62;0.32
1;6;4;6;1190;6;1125;11;4.6;4.8;4.1;4.89;4.89;4.56;4.56;0.16
1;7;4;5;1200;5;1125;29;4.82;4.89;4.86;4.89;4.93;4.71;4.89;0.34
1;8;4;3;1800;3;1125;7;5.0;5.0;5.0;4.86;5.0;5.0;5.0;0.15
1;8;4;4;1637;2;14;40;4.87;4.86;4.87;4.95;5.0;4.7;4.86;0.46
1;6;4;4;1195;2;100;9;4.89;5.0;4.89;4.89;5.0;5.0;5.0;0.12
1;6;4;6;1151;3;1125;21;4.45;4.6;3.7;4.9;4.95;4.65;4.6;0.25
1;6;4;4;1400;2;1125;9;4.89;4.78;4.89;5.0;4.89;4.78;4.78;0.21
1;8;4;4;3000;2;1125;34;4.9;4.87;4.93;4.97;4.93;4.93;4.9;0.39
1;5;4;4;999;7;1125;15;4.93;5.0;4.87;4.93;5.0;4.93;4.93;0.18
1;6;4;6;1700;5;1125;24;4.79;4.79;4.79;4.92;4.92;4.96;4.79;0.29
1;5;4;3;2000;4;30;5;4.8;4.6;4.8;5.0;5.0;5.0;4.8;0.1
